Genotype;date;plant;nb_visible_leaves;nb_total_leaves;nb_missing_leaves;nb_leaf_present;leaf_area;total_leaf_area;nb_total_flowers;nb_stolons;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_inflorescence;order_max;nb_ramifications;vid
Gariguette;12/02/2015;7;10;10;0;10;87.73;877.3;21;0;0;1;8;2;1;0;2603
Gariguette;12/02/2015;8;17;17;0;17;81.71;1389.07;31;0;2;1;11;3;1;1;2678
Gariguette;12/02/2015;9;15;15;0;15;91.12;1366.8;30;0;1;1;11;3;1;1;2790
Gariguette;06/03/2015;1;15;15;0;15;100.99;1514.85;29;0;0;0;11;3;1;1;2896
Gariguette;06/03/2015;2;17;17;0;17;105.06;1786.02;38;1;3;1;7;4;2;1;2987
Gariguette;06/03/2015;3;18;20;0;18;65.6;1180.8;42;0;4;1;11;4;2;1;3075
Gariguette;06/03/2015;4;18;23;0;18;123.73;2227.14;27;0;7;0;12;3;2;1;3194
Gariguette;06/03/2015;5;18;23;0;18;113.99;2051.82;39;2;6;2;9;3;2;1;3324
Gariguette;06/03/2015;6;18;18;0;18;89.73;1615.14;36;2;3;3;8;3;1;1;3441
Gariguette;06/03/2015;7;12;14;0;12;84.26;1011.12;31;0;1;3;6;3;3;0;3553
Gariguette;06/03/2015;8;16;16;0;16;84.47;1351.52;42;1;1;0;10;3;2;0;3627
Gariguette;06/03/2015;9;23;28;0;23;130.59;3003.57;36;0;9;2;12;4;2;2;3732
Gariguette;02/04/2015;1;42;50;0;42;113;4746;78;1;18;1;15;9;2;6;3879
Gariguette;02/04/2015;2;22;23;0;22;117.72;2589.84;55;0;6;1;9;5;3;1;4124
Gariguette;02/04/2015;3;14;14;0;14;0;0;34;0;3;0;8;3;1;1;4242
Gariguette;02/04/2015;4;32;42;0;32;167.66;5365.12;55;6;7;1;12;6;2;3;4310
Gariguette;02/04/2015;5;15;15;0;15;64.42;966.3;43;0;4;1;5;4;2;1;4476
Gariguette;02/04/2015;6;21;24;0;21;152.9;3210.9;49;1;5;3;3;5;2;2;4556
Gariguette;02/04/2015;7;25;28;0;25;72.76;1819;50;2;8;0;8;5;2;2;4653
Gariguette;02/04/2015;8;57;71;0;57;154.91;8829.87;75;1;25;7;14;9;3;7;4768
Gariguette;02/04/2015;9;20;24;0;20;71.58;1431.6;31;1;8;0;7;3;2;1;5078
Gariguette;19/05/2015;1;33;35;0;33;149.47;4932.51;52;3;10;0;7;9;4;2;5182
